epoch,loss,psnr,val_loss,val_psnr
0,2523.700240542776,15.384883862273526,1483.057103031517,18.071420462518677
1,1125.0694900774395,18.86114829362083,868.6219012920673,20.444926092359754
2,773.5851479578836,20.5921213903169,618.0862442407853,21.942839710529032
3,608.1964681683417,21.735656393003307,478.0724590594952,23.061734608707265
4,515.5791087025302,22.53494882021076,395.83302095853367,23.864947620620075
5,459.02224121214766,23.1049431942376,343.28808072082,24.478105215741017
6,420.5807637191686,23.53991584497979,306.1090019030449,24.981812058147202
7,391.6272223101885,23.898662955150904,278.0766324035123,25.40197027483557
8,368.4018451610878,24.213106511073388,255.77481992020566,25.7906800066304
9,349.16874389255133,24.49684181357087,237.29197215544872,26.145628454746344
10,332.9010227823962,24.761235506101798,221.89988773704593,26.472266863961504
11,319.08049788011294,24.99806473055904,209.00556640625,26.772340885390584
12,307.2267443922687,25.212206714297707,198.0081319694845,27.0488036587707
13,296.8205360313515,25.411887963534088,188.16840277777777,27.312159598586906
14,287.43391587730207,25.60341121094591,179.2768505650708,27.579964913262263
15,279.0051693243634,25.78642810720559,171.4404728816106,27.829588800413994
16,271.533430903308,25.955050173559307,164.6923829168336,28.065824068509617
17,265.02908091177795,26.105655134852842,158.98066959218082,28.278674587021527
18,259.3141292187413,26.243473488452285,153.9208037025908,28.474356268206215
19,254.2411160356074,26.37100380112516,149.4443145491119,28.654872340014858
20,249.84211216784095,26.485647046106283,145.67556611411592,28.827964521880844
21,246.04511932406328,26.59013841957477,142.18539173093617,28.987595849974543
22,242.75601961724502,26.68251365952063,139.2611095461071,29.12892949356992
23,239.89550438316772,26.76585302885193,136.7059862446581,29.2644900916988
24,237.3886060127598,26.841299454095378,134.4998527852898,29.380130021184936
25,235.1913603132847,26.908768481325204,132.4654834193042,29.489815586448735
26,233.24510305719875,26.970176610741493,130.71987847222223,29.5889591086624
27,231.52086860034254,27.024864637356536,129.18559090377937,29.682288588825454
28,229.98281125775577,27.075179885231943,127.75799581413595,29.760419496715578
29,228.59222492283442,27.122626596486544,126.40698054387019,29.8587887103741
30,227.3411069816861,27.16505502716122,125.17350406483708,29.942697348961463
31,226.22713984556285,27.203172177333382,124.18109861194579,30.00617673824995
32,225.2207618865407,27.238150067450896,123.2561506744124,30.07248780340211
33,224.30948526747957,27.269300369485066,122.33691166282719,30.143970985086554
34,223.4809012195099,27.298687158378296,121.59978590745192,30.189549232548117
